Locality,DecimalLatitude,DecimalLongitude,place_names,last_place_name,last_place_name_feature_type,source_latitude,source_longitude
ridge above north stream /moa confluence,-43.128866,171.242263,"{'place_name': 'north stream', 'feature_type': 'Stream'}",north stream,Stream,-40.352473950000004,175.58689557599507
"the gorge creek, pikikiruna range, north west nelson",-40.953007,172.846799,"[{'place_name': 'the gorge creek', 'feature_type': 'Stream'}, {'place_name': 'pikikiruna range', 'feature_type': 'Range'}]",nelson,City,-41.2710849,173.2836756
lindis pass,-44.588348,169.64329,"[{'place_name': 'lindis pass', 'feature_type': 'Pass'}]",lindis pass,Pass,-44.5882397,169.6430643
"hawkes bay, south hawkes bay, makotuku",-40.134586,176.227777,"[{'place_name': 'makotuku', 'feature_type': 'Locality'}]",makotuku,Locality,-40.1213644,176.2332422
"tata point, north west nelson",-40.8042,172.9167,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
buller county: dolomite point scenic reserve.,-42.115004,171.326531,"[{'place_name': 'dolomite point', 'feature_type': 'Point'}]",dolomite point,Point,-42.1138966,171.3259792
oamaru,-45.096145,170.98057,"[{'place_name': 'oamaru', 'feature_type': 'Town'}]",oamaru,Town,-45.0997681,170.9684232
"tiritiri matangi, entrance to lighthouse on wooden carving of takahe",-36.605422,174.895235,"[{'place_name': 'tiritiri', 'feature_type': 'Hill'}]",matangi,Locality,-39.7339038,176.8691601
"canterbury, lake tekapo.",-44.008729,170.479332,"[{'place_name': 'lake tekapo', 'feature_type': 'Locality'}]",lake tekapo,Locality,-43.89344815,170.52402115790798
tin range,-47.132004,167.750132,"[{'place_name': 'tin range', 'feature_type': 'Range'}]",tin range,Range,-47.11933,167.75848
"wairua fall, whangarei co",-35.746252,174.083948,"[{'place_name': 'wairua', 'feature_type': 'Hill'}]",wairua,Hill,-43.7662917,-176.383592
springs junction,-42.333134,172.181044,"[{'place_name': 'springs junction', 'feature_type': 'Locality'}]",springs junction,Locality,-42.3347563,172.1817907
"rotorua, tikitere",-38.064575,176.355697,"[{'place_name': 'rotorua', 'feature_type': 'City'}]",tikitere,Locality,-38.0729939,176.3361453
"totara reserve, pohangina v.,",-40.12187,175.85953,"[{'place_name': 'totara', 'feature_type': 'Locality'}]",pohangina,Village,-40.1707737,175.7947468
"marlborough, near hapuka [hapuku] river, kaikoura area",-42.310593,173.708619,"[{'place_name': 'marlborough', 'feature_type': 'Suburb'}]",hapuku,Locality,-42.3104486,173.7139981
"horowhenua district, hokio, near stream mouth",-40.600782,175.174441,"[{'place_name': 'horowhenua district', 'feature_type': 'Local Authority'}]",hokio,Hill,-39.631852,175.719807
"kaitake range - egmont national park, timaru stream",-39.194039,173.96546,"[{'place_name': 'kaitake range', 'feature_type': 'Range'}, {'place_name': 'egmont national park', 'feature_type': 'National Park'}]",timaru,Town,-44.3930254,171.2509786
"auckland, onehunga",-36.916,174.783,"[{'place_name': 'auckland', 'feature_type': 'Local Authority'}]",onehunga,Suburb,-36.9237924,174.7857738
"mead hill, south west of chalk ra., marlborough",-41.94596,173.8213,"[{'place_name': 'mead hill', 'feature_type': 'Hill'}]",marlborough,Suburb,-41.47447475,173.8330262577606
"deep bay, stewart island",-46.905,168.135,"[{'place_name': 'deep bay', 'feature_type': 'Bay'}]",stewart island,Island,-46.986719699999995,167.88213801660544
"access point werati beach, cape reinga",-34.461615,172.68789,"[{'place_name': 'cape reinga', 'feature_type': 'Locality'}]",cape reinga,Locality,-34.4201843,172.6793483
"aulds creek, 2m south of reefton, inangahua co., nelson",-42.1417,171.87067,"[{'place_name': 'reefton', 'feature_type': 'Town'}, {'place_name': 'inangahua', 'feature_type': 'Locality'}]",nelson,City,-41.2710849,173.2836756
"whangarei county, whangaruru north head",-35.379657,174.371659,"[{'place_name': 'whangaruru north', 'feature_type': 'Locality'}]",whangaruru north,Locality,-35.3425868,174.3440626
"tauranga bat, buller co.",-41.77234,171.448545,"[{'place_name': 'tauranga', 'feature_type': 'Hill'}]",tauranga,Hill,-37.6859006,176.167505
"track to jack's crk, maimai valley, west of reefton",-42.08683,171.769779,"[{'place_name': 'jack', 'feature_type': 'Hill'}, {'place_name': 'maimai', 'feature_type': 'Hill'}]",reefton,Town,-42.1159384,171.8634561
"whanganui, durie hill, 22 forres st",-39.93433,175.06291,"[{'place_name': 'whanganui', 'feature_type': 'Locality'}]",durie hill,Suburb,-39.9387491,175.0692835
"north island, matata, channel near nw lagoon",-37.88689,176.76088,"[{'place_name': 'north island', 'feature_type': 'Island'}]",north island,Island,-46.81661455,168.23912089628956
"westland, punakaiki ecological district, mahers swamp.",-42.167596,171.322605,"[{'place_name': 'punakaiki', 'feature_type': 'Locality'}]",punakaiki,Locality,-42.1085542,171.3353148
"hunua ranges, ploughs road",-37.040231,175.178971,"[{'place_name': 'hunua ranges', 'feature_type': 'Range'}]",hunua ranges,Range,-37.09362405,175.1800327655045
"paparoa range, charleston, metro cave",-41.933333,171.466666,"[{'place_name': 'paparoa range', 'feature_type': 'Range'}, {'place_name': 'charleston', 'feature_type': 'Locality'}]",cave,Locality,-44.3112471,170.9509668
"mackenzie basin, north west of twizel",-44.222373,170.034536,"[{'place_name': 'twizel', 'feature_type': 'Town'}]",twizel,Town,-44.257483,170.0994145
"fiordland, mount george, rocky basin immediately north of peak.",-45.456699,167.23158,"[{'place_name': 'mount george', 'feature_type': 'Hill'}]",peak,Hill,-40.854352,175.830877
"mount egmont, dawson falls road",-39.316111,174.1,"[{'place_name': 'mount egmont', 'feature_type': 'Hill'}]",dawson falls,Waterfall,-39.3234132,174.1039895
"blue mountains ridge, silverstream, hutt valley",-41.1376,175.141,"[{'place_name': 'blue mountains', 'feature_type': 'Range'}]",silverstream,Suburb,-41.1472951,175.0102869
"christchurch, addington, old addington railway workshops site",-43.546775,172.603877,"[{'place_name': 'christchurch', 'feature_type': 'City'}, {'place_name': 'addington', 'feature_type': 'Suburb'}]",addington,Suburb,-43.5429362,172.6125849
"new zealand, north island, te paki ecological region and district, te paki, north cape, north cape scientific reserve, surville cliffs, ""galloway bush""",-34.394472,173.009026,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'te paki', 'feature_type': 'Locality'}, {'place_name': 'te paki', 'feature_type': 'Hill'}, {'place_name': 'north cape', 'feature_type': 'Cape'}, {'place_name': 'north cape scientific reserve', 'feature_type': 'Scientific Reserve'}, {'place_name': 'surville cliffs', 'feature_type': 'Cliff'}]",galloway,Locality,-45.2099648,169.4575667
"omahuta state forest, near mangamuka bridge, kauri sanctury",-35.23915,173.626731,"[{'place_name': 'omahuta', 'feature_type': 'Locality'}, {'place_name': 'mangamuka bridge', 'feature_type': 'Locality'}]",kauri,Locality,-36.014639,174.090889
"junction jones / hinds-arundel roads, canty. plains",-43.980207,171.411215,"[{'place_name': 'hinds', 'feature_type': 'Locality'}]",arundel,Locality,-43.9762004,171.2932624
"north auckland, shore-line west of duck creek, manukau harbour",-36.823946,174.710592,"[{'place_name': 'auckland', 'feature_type': 'City'}, {'place_name': 'duck creek', 'feature_type': 'Stream'}]",manukau harbour,Bay,-37.086474300000006,174.7288539724189
"deer spur walk, peel forest park, stop 5",-43.891,171.24,"[{'place_name': 'deer spur', 'feature_type': 'Ridge'}]",peel forest,Locality,-43.911219,171.2603756
"auckland islands, magnetic survey bay ",-50.866666,166.008333,"[{'place_name': 'auckland islands', 'feature_type': 'Island'}]",survey bay,Bay,-50.8654217,165.9890303
wellington city,-41.310315,174.767769,"[{'place_name': 'wellington city', 'feature_type': 'Local Authority'}]",wellington city,Local Authority,-41.25275310000001,174.7184709414953
cape runaway area,-37.577717,178.087846,"[{'place_name': 'cape runaway', 'feature_type': 'Point'}]",cape runaway,Point,-37.5373501,177.9812397
"puketi forest, waipapa river track",-35.275583,173.685766,"[{'place_name': 'puketi forest', 'feature_type': 'Conservation Park'}]",waipapa river,Stream,-35.2230936,173.6863266
head of flea bay,-43.871442,172.999854,"[{'place_name': 'flea bay', 'feature_type': 'Bay'}]",flea bay,Bay,-43.8764271,173.0156241
"north canterbury, lewis river, dan's creek",-42.484484,172.388136,"[{'place_name': 'lewis river', 'feature_type': 'Stream'}]",lewis river,Stream,-42.4613536,172.3998662
near te waewae,-46.202875,167.65543,"[{'place_name': 'te waewae', 'feature_type': 'Locality'}]",te waewae,Locality,-40.8741024,176.2239533
"the dunes, kairaki (nr christchurch).",-43.376404,172.705135,"[{'place_name': 'kairaki', 'feature_type': 'Locality'}]",christchurch,City,-43.530955,172.6366455
"hunters hills, road to meyer's pass",-44.5,170.816111,"[{'place_name': 'meyer', 'feature_type': 'Hill'}]",meyer,Hill,-44.774611,170.612972
"mokau river, tauwhare scenic reserve",-38.712915,174.651343,"[{'place_name': 'mokau river', 'feature_type': 'Stream'}]",tauwhare,Locality,-35.4097758,173.3415556
hukutaia domain,-38.068638,177.2658,"[{'place_name': 'domain', 'feature_type': 'Place'}]",domain,Place,-41.76749565,171.59967104340677
"kawarau gorge, gentle annie",-41.16778,173.49039,"[{'place_name': 'kawarau gorge', 'feature_type': 'Locality'}]",gentle annie,Hill,-39.17313,175.13786
"nevis river, 0.5 km from mouth",-45.083055,169.016111,"[{'place_name': 'nevis river', 'feature_type': 'Stream'}]",nevis river,Stream,-45.2244335,168.9712216
"main south road, just north of rakaia river, bankside near highway 1",-43.712147,172.085058,"[{'place_name': 'rakaia river', 'feature_type': 'Stream'}]",bankside,Locality,-43.7013985,172.0894436
stewart island:  near summit of mt anglem,-46.742386,167.911122,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",summit,Locality,-40.4609278,176.1211144
"brattys bush scenic reserve, ngunguru",-35.610598,174.486687,"[{'place_name': 'brattys bush scenic reserve', 'feature_type': 'Scenic Reserve'}]",ngunguru,Locality,-35.6333633,174.5007751
"wanganui, wanganui city, corner ingestre and st hill streets",-39.931961,175.044108,"[{'place_name': 'wanganui', 'feature_type': 'City'}]",wanganui,City,-39.9324904,175.0519306
"raukumara range, mount honokawa.",-37.83989,177.98225,"[{'place_name': 'mount honokawa', 'feature_type': 'Hill'}]",mount honokawa,Hill,-37.8449689,177.9722947
"canterbury, lake sumner at the head",-42.704265,172.161934,"[{'place_name': 'lake sumner', 'feature_type': 'Lake'}]",lake sumner,Lake,-42.70499305,172.21024395719928
"deer spur, peel forest scenic rserve, south canterbury",-43.891062,171.238376,"[{'place_name': 'deer spur', 'feature_type': 'Ridge'}]",peel forest,Locality,-43.911219,171.2603756
"fox river canyon, west paparoas",-42.047605,171.422805,"[{'place_name': 'fox river', 'feature_type': 'Stream'}]",fox river,Stream,-43.5007252,170.056968
"kermadec islands, south meyer, denham bay",-29.247,-177.878,"[{'place_name': 'kermadec islands', 'feature_type': 'Island'}, {'place_name': 'meyer', 'feature_type': 'Hill'}]",denham bay,Bay,-29.2625711,-177.951907
"st. arnaud range, nelson",-41.823468,172.892934,"[{'place_name': 'st. arnaud range', 'feature_type': 'Range'}]",nelson,City,-41.2710849,173.2836756
"opotiki, woodlands",-38.064789,177.216349,"[{'place_name': 'woodlands', 'feature_type': 'Locality'}]",woodlands,Locality,-46.35975,168.54652
"mid dome, red duster creek",-45.5831,168.533,"[{'place_name': 'mid dome', 'feature_type': 'Hill'}]",mid dome,Hill,-45.5848922,168.5372243
"rimutaka range, east of summit.",-41.111103,175.244765,"[{'place_name': 'rimutaka range', 'feature_type': 'Range'}]",summit,Hill,-40.4609278,176.1211144
"soil bureau property, taita",-41.1856,174.961,"[{'place_name': 'taita', 'feature_type': 'Hill'}]",taita,Hill,-35.0907445,173.7556292
"terrace on the west bank of the kowhai river valley, upstream from sandy creek",-42.339067,173.5497,"[{'place_name': 'terrace', 'feature_type': 'Flat'}, {'place_name': 'kowhai river', 'feature_type': 'Stream'}]",sandy creek,Stream,-42.3417576,173.560733
"mt honokawa [whanokao], raukumara ra.",-37.853631,177.977521,"[{'place_name': 'whanokao', 'feature_type': 'Hill'}]",whanokao,Hill,-37.8449689,177.9722947
"waipapa station, south bank, clarence r.",-42.167043,173.859277,"[{'place_name': 'waipapa', 'feature_type': 'Locality'}, {'place_name': 'south bank', 'feature_type': 'Bank'}]",clarence,Locality,-42.1560429,173.9269144
"lake tekapo, near power-house",-44.010145,170.461804,"[{'place_name': 'lake tekapo', 'feature_type': 'Locality'}]",lake tekapo,Locality,-43.89344815,170.52402115790798
"upper taieri plain, vicinity of patearoa power station; c. 1 km upstream of styx/patearoa road; near holiday crib at road end.",-45.335095,169.951318,"[{'place_name': 'upper taieri plain', 'feature_type': 'Flat'}, {'place_name': 'patearoa', 'feature_type': 'Locality'}, {'place_name': 'patearoa', 'feature_type': 'Locality'}]",end,Hill,-39.282606,176.498212
"south auckland, hamilton ecological district, rototuna, thomas road.",-37.730188,175.280251,"[{'place_name': 'auckland', 'feature_type': 'City'}, {'place_name': 'hamilton', 'feature_type': 'City'}]",rototuna,Suburb,-37.7356727,175.2694426
"epsom, showgrounds, grandstand roof",-36.890466,174.782148,"[{'place_name': 'epsom', 'feature_type': 'Suburb'}]",epsom,Suburb,-36.8858447,174.7734616
"erua, near national park, near margin of erua state forest",-39.166,175.368,"[{'place_name': 'erua', 'feature_type': 'Locality'}, {'place_name': 'national park', 'feature_type': 'Village'}]",erua,Locality,-39.227075,175.3965571
"christchurch, near thorrington primary school",-43.564858,172.628515,"[{'place_name': 'christchurch', 'feature_type': 'City'}]",christchurch,City,-43.530955,172.6366455
