Locality,DecimalLatitude,DecimalLongitude,place_names,last_place_name,last_place_name_feature_type
ridge above north stream /moa confluence,-43.128866,171.242263,"{'place_name': 'north stream', 'feature_type': 'Stream'}",north stream,Stream
"the gorge creek, pikikiruna range, north west nelson",-40.953007,172.846799,"[{'place_name': 'the gorge creek', 'feature_type': 'Stream'}, {'place_name': 'pikikiruna range', 'feature_type': 'Range'}]",nelson,City
lindis pass,-44.588348,169.64329,"[{'place_name': 'lindis pass', 'feature_type': 'Pass'}]",lindis pass,Pass
"hawkes bay, south hawkes bay, makotuku",-40.134586,176.227777,"[{'place_name': 'makotuku', 'feature_type': 'Locality'}]",makotuku,Locality
"tata point, north west nelson",-40.8042,172.9167,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City
buller county: dolomite point scenic reserve.,-42.115004,171.326531,"[{'place_name': 'dolomite point', 'feature_type': 'Point'}]",dolomite point,Point
oamaru,-45.096145,170.98057,"[{'place_name': 'oamaru', 'feature_type': 'Town'}]",oamaru,Town
"tiritiri matangi, entrance to lighthouse on wooden carving of takahe",-36.605422,174.895235,"[{'place_name': 'tiritiri', 'feature_type': 'Hill'}]",matangi,Locality
"canterbury, lake tekapo.",-44.008729,170.479332,"[{'place_name': 'lake tekapo', 'feature_type': 'Locality'}]",lake tekapo,Locality
bragg bay,-46.889441,168.137268,"[{'place_name': 'bragg bay', 'feature_type': 'Bay'}]",bragg bay,Bay
tin range,-47.132004,167.750132,"[{'place_name': 'tin range', 'feature_type': 'Range'}]",tin range,Range
"wairua fall, whangarei co",-35.746252,174.083948,"[{'place_name': 'wairua', 'feature_type': 'Hill'}]",wairua,Hill
springs junction,-42.333134,172.181044,"[{'place_name': 'springs junction', 'feature_type': 'Locality'}]",springs junction,Locality
"rotorua, tikitere",-38.064575,176.355697,"[{'place_name': 'rotorua', 'feature_type': 'City'}]",tikitere,Locality
"totara reserve, pohangina v.,",-40.12187,175.85953,"[{'place_name': 'totara', 'feature_type': 'Locality'}]",pohangina,Village
"marlborough, near hapuka [hapuku] river, kaikoura area",-42.310593,173.708619,"[{'place_name': 'marlborough', 'feature_type': 'Suburb'}]",hapuku,Locality
