Locality,DecimalLatitude,DecimalLongitude
tinline valley by old homestead,-41.256436,173.496696
ridge above north stream /moa confluence,-43.128866,171.242263
"the gorge creek, pikikiruna range, north west nelson",-40.953007,172.846799
lindis pass,-44.588348,169.64329
"hawkes bay, south hawkes bay, makotuku",-40.134586,176.227777
"tata point, north west nelson",-40.8042,172.9167
buller county: dolomite point scenic reserve.,-42.115004,171.326531
oamaru,-45.096145,170.98057
"tiritiri matangi, entrance to lighthouse on wooden carving of takahe",-36.605422,174.895235
"canterbury, lake tekapo.",-44.008729,170.479332
bragg bay,-46.889441,168.137268
tin range,-47.132004,167.750132
"wairua fall, whangarei co",-35.746252,174.083948
horokiwi hill,-41.183333,174.866666
springs junction,-42.333134,172.181044
"rotorua, tikitere",-38.064575,176.355697
st. albans,-43.5122,172.64
"totara reserve, pohangina v.,",-40.12187,175.85953
"marlborough, near hapuka [hapuku] river, kaikoura area",-42.310593,173.708619
"horowhenua district, hokio, near stream mouth",-40.600782,175.174441
"kaitake range - egmont national park, timaru stream",-39.194039,173.96546
"auckland, onehunga",-36.916,174.783
"mead hill, south west of chalk ra., marlborough",-41.94596,173.8213
"deep bay, stewart island",-46.905,168.135
"access point werati beach, cape reinga",-34.461615,172.68789
"aulds creek, 2m south of reefton, inangahua co., nelson",-42.1417,171.87067
"whangarei county, whangaruru north head",-35.379657,174.371659
"tauranga bat, buller co.",-41.77234,171.448545
"track to jack's crk, maimai valley, west of reefton",-42.08683,171.769779
takaka hill track,-41.031047,172.866496
"whanganui, durie hill, 22 forres st",-39.93433,175.06291
"north island, matata, channel near nw lagoon",-37.88689,176.76088
"westland, punakaiki ecological district, mahers swamp.",-42.167596,171.322605
"hunua ranges, ploughs road",-37.040231,175.178971
"paparoa range, charleston, metro cave",-41.933333,171.466666
"mackenzie basin, north west of twizel",-44.222373,170.034536
"fiordland, mount george, rocky basin immediately north of peak.",-45.456699,167.23158
"mount egmont, dawson falls road",-39.316111,174.1
great barrier island,-36.239936,175.394318
"blue mountains ridge, silverstream, hutt valley",-41.1376,175.141
"christchurch, addington, old addington railway workshops site",-43.546775,172.603877
"new zealand, north island, te paki ecological region and district, te paki, north cape, north cape scientific reserve, surville cliffs, ""galloway bush""",-34.394472,173.009026
"omahuta state forest, near mangamuka bridge, kauri sanctury",-35.23915,173.626731
"junction jones / hinds-arundel roads, canty. plains",-43.980207,171.411215
"north auckland, shore-line west of duck creek, manukau harbour",-36.823946,174.710592
"deer spur walk, peel forest park, stop 5",-43.891,171.24
"auckland islands, magnetic survey bay ",-50.866666,166.008333
wellington city,-41.310315,174.767769
"port hills, near victoria park",-43.593,172.645
cape runaway area,-37.577717,178.087846
"puketi forest, waipapa river track",-35.275583,173.685766
head of flea bay,-43.871442,172.999854
"north canterbury, lewis river, dan's creek",-42.484484,172.388136
near te waewae,-46.202875,167.65543
"the dunes, kairaki (nr christchurch).",-43.376404,172.705135
"south canterbury, hamner range",-42.458214,172.902691
"hunters hills, road to meyer's pass",-44.5,170.816111
"mokau river, tauwhare scenic reserve",-38.712915,174.651343
hukutaia domain,-38.068638,177.2658
"kawarau gorge, gentle annie",-41.16778,173.49039
"kopuku, kopuku stream",-37.280534,175.170387
"nevis river, 0.5 km from mouth",-45.083055,169.016111
"main south road, just north of rakaia river, bankside near highway 1",-43.712147,172.085058
stewart island:  near summit of mt anglem,-46.742386,167.911122
"brattys bush scenic reserve, ngunguru",-35.610598,174.486687
south hope range,-41.602216,172.604233
"wanganui, wanganui city, corner ingestre and st hill streets",-39.931961,175.044108
"south east is, chatham group",-44.34,-176.176
"raukumara range, mount honokawa.",-37.83989,177.98225
waikura valley,-38.642197,177.676436
"stewart island, inland from head of cook arm",-47.19767,167.585237
"canterbury, lake sumner at the head",-42.704265,172.161934
"deer spur, peel forest scenic rserve, south canterbury",-43.891062,171.238376
"fox river canyon, west paparoas",-42.047605,171.422805
"kermadec islands, south meyer, denham bay",-29.247,-177.878
"st. arnaud range, nelson",-41.823468,172.892934
"opotiki, woodlands",-38.064789,177.216349
"mid dome, red duster creek",-45.5831,168.533
"vic. cambridge, maungakawa scenic reserve",-37.861342,175.526381
"rimutaka range, east of summit.",-41.111103,175.244765
